x y t case x_pre y_pre x_cor y_cor
3241.47 1242.16 11.0538 2 3239 1239 3241 1242
3240.29 1241.92 11.0702 2 3241 1241 3240 1241
3238.36 1241.7 11.087 2 3239 1241 3238 1241
3235.35 1241.21 11.116 2 3236 1241 3235 1241
3233.2 1241.81 11.1325 2 3233 1240 3233 1241
3234.49 1241.89 11.1485 2 3231 1241 3234 1241
3233.71 1241.28 11.1642 2 3233 1241 3233 1241
3230.86 1241.48 11.1934 2 3232 1240 3230 1241
3231.12 1241.86 11.2099 2 3229 1241 3231 1241
3228.9 1240.84 11.2269 2 3230 1241 3228 1240
3226.75 1241.06 11.2427 2 3227 1240 3226 1241
3226.68 1240.78 11.2723 2 3223 1240 3226 1240
3226.01 1239.94 11.2879 2 3226 1240 3226 1239
3224.74 1237.6 11.3035 2 3225 1239 3224 1237
3224.68 1238.97 11.3199 2 3223 1236 3224 1238
3225.15 1239.08 11.3353 2 3224 1238 3225 1239
3224.75 1239.53 11.352 2 3224 1238 3224 1239
3224.47 1239.04 11.381 2 3224 1239 3224 1239
3222.77 1238.34 11.3961 2 3224 1238 3222 1238
3221.96 1238.96 11.4121 2 3222 1238 3221 1238
3223.57 1238.45 11.4276 2 3221 1238 3223 1238
3221.49 1237.85 11.4432 2 3223 1238 3221 1237
3221.73 1240.09 11.4594 2 3220 1237 3221 1240
3219.21 1239.57 11.4752 2 3221 1240 3219 1239
3221.46 1240.68 11.4906 2 3218 1239 3221 1240
3221.21 1240.9 11.506 2 3221 1241 3221 1240
3221.28 1241.49 11.5216 2 3221 1241 3221 1241
3220.39 1242.01 11.5367 2 3221 1241 3220 1242
3219.52 1242.02 11.5523 2 3220 1242 3219 1242
3221.37 1242.51 11.5676 2 3219 1242 3221 1242
3220.08 1242.96 11.5838 2 3221 1242 3220 1242
3219.11 1242.29 11.5993 2 3219 1243 3219 1242
3218.09 1243.53 11.6147 2 3218 1242 3218 1243
3219.39 1242.97 11.6318 2 3217 1243 3219 1242
3218.15 1243.85 11.6464 2 3219 1243 3218 1243
3219.05 1243.31 11.6633 2 3217 1244 3219 1243
3217.58 1243.02 11.6936 2 3219 1243 3217 1243
3216.25 1244.42 11.7099 2 3217 1242 3216 1244
3215.33 1244.59 11.7407 2 3214 1244 3215 1244
3214.49 1243.77 11.7552 2 3214 1244 3214 1243
3215.64 1244.09 11.7713 2 3213 1243 3215 1244
3214 1245.22 11.7867 2 3215 1244 3214 1245
3212.13 1244.46 11.802 2 3213 1245 3212 1244
3213.09 1244.35 11.8177 2 3211 1244 3213 1244
3211.23 1244.43 11.8333 2 3212 1244 3211 1244
3211.82 1242.47 11.8483 2 3210 1244 3211 1242
3210.9 1243.76 11.864 2 3211 1241 3210 1243
3209.81 1243.82 11.8797 2 3210 1243 3209 1243
3208.59 1242.76 11.8953 2 3209 1243 3208 1242
3210.46 1242.56 11.911 2 3207 1242 3210 1242
3209.59 1239.9 11.9262 2 3210 1242 3209 1239
3208.94 1242.7 11.9428 2 3209 1238 3208 1242
3209.63 1242.25 11.9579 2 3208 1242 3209 1242
3208.33 1241.85 11.973 2 3209 1242 3208 1241
3208.73 1241.64 11.9881 2 3207 1241 3208 1241
3207.94 1241.48 12.0039 2 3208 1241 3207 1241
3207.58 1239.33 12.0209 2 3207 1241 3207 1239
3206.99 1241.65 12.0365 2 3207 1238 3206 1241
3206.09 1240.59 12.0518 2 3206 1241 3206 1240
3206.76 1241.69 12.0672 2 3205 1240 3206 1241
3206.65 1239.98 12.0831 2 3206 1241 3206 1239
3207.23 1239.95 12.0996 2 3206 1239 3207 1239
3207.3 1239.96 12.1138 2 3207 1239 3207 1239
3206.54 1239.07 12.13 2 3207 1239 3206 1239
